participant,type,score,memory_score,image_memory_order,food_order,quality,attract,mood,image_id
57,cake,50,low,4,2,中质量,无吸引力,非常正面,4
57,sandwich,25,high,2,1,中质量,无吸引力,非常正面,5
57,sandwich,50,low,2,2,高质量,有吸引力,非常正面,6
57,donut,36,high,3,1,高质量,无吸引力,非常正面,7
57,donut,28,low,3,2,高质量,有吸引力,非常正面,8
58,wine,20,high,1,1,中质量,无吸引力,中立,1
58,wine,15,low,1,2,高质量,有吸引力,中立,2
58,cake,22,high,2,1,中质量,有吸引力,中立,3
58,cake,15,low,2,2,低质量,无吸引力,中立,4
58,sandwich,30,high,4,1,高质量,有吸引力,中立,5
58,sandwich,25,low,4,2,高质量,无吸引力,中立,6
58,donut,10,high,3,1,中质量,有吸引力,中立,7
58,donut,10,low,3,2,中质量,无吸引力,中立,8
